opp_week,opp_TEAM,opp_OPP,opp_opp_points,opp_first_downs,opp_total_yds,opp_passing_yds,opp_rushing_yds,opp_penalty_cnt,opp_penalty_yds,opp_turnovers,opp_punt_cnt,opp_punt_yds,opp_punt_avg,opp_pos_time
3,DET,ATL,30,26,428,277,151,8,68,3,2,91,41,1955
4,DET,MIN,7,15,284,197,87,2,10,3,5,201,40,1413
5,DET,CAR,27,16,362,334,28,11,100,0,5,234,42,2123
6,DET,NO,52,19,379,186,193,13,118,3,7,344,31,1931
8,DET,PIT,20,17,392,317,75,5,37,2,4,188,42,1703
9,DET,GB,17,21,311,233,78,2,20,0,3,128,40,1385
10,DET,CLE,24,26,413,212,201,7,60,2,5,241,37,2074
11,DET,CHI,24,24,398,176,222,5,64,1,4,186,41,1764
12,DET,MIN,30,28,408,272,136,9,74,0,4,171,35,2097
13,DET,BAL,44,24,370,269,101,2,25,0,5,209,39,1791
14,DET,TB,21,28,400,267,133,7,65,5,3,148,44,1813
15,DET,CHI,10,22,349,306,43,13,97,3,5,225,36,1855
16,DET,CIN,26,28,364,222,142,5,60,1,4,152,38,1949
17,DET,GB,11,17,256,153,103,8,68,4,6,269,36,1907
1,GB,SEA,9,12,225,135,90,8,50,1,6,275,46,1247
2,GB,ATL,34,19,364,223,141,6,34,0,4,165,41,1717
3,GB,CIN,24,21,301,191,110,7,68,1,6,296,38,2057
4,GB,CHI,14,20,308,205,103,8,62,4,3,147,47,1911
5,GB,DAL,31,26,408,245,163,7,70,3,1,38,38,2106
6,GB,MIN,23,24,351,239,112,7,65,2,4,155,37,1929
7,GB,NO,26,25,485,324,161,7,80,2,2,78,39,2216
9,GB,DET,30,24,417,353,64,2,19,1,0,0,0,2215
10,GB,CHI,16,14,323,268,55,8,78,1,5,241,40,1567
11,GB,BAL,23,14,219,161,58,3,30,1,7,290,37,1803
12,GB,PIT,31,28,462,341,121,5,45,3,3,97,32,2016
13,GB,TB,20,25,395,230,165,8,74,1,5,176,35,2237
14,GB,CLE,21,17,345,209,136,6,45,2,4,209,37,1718
15,GB,CAR,31,29,387,236,151,5,40,0,4,174,40,2037
16,GB,MIN,16,15,236,124,112,2,10,0,7,277,35,1897
17,GB,DET,35,18,356,305,51,5,62,0,6,266,33,1693
1,HOU,JAX,29,19,280,125,155,10,89,0,4,187,37,1805
2,HOU,CIN,9,12,295,213,82,7,45,1,7,334,46,1665
3,HOU,NE,36,21,396,337,59,5,69,1,6,272,39,1582
4,HOU,TEN,14,9,195,109,86,6,88,5,5,246,48,1219
5,HOU,KC,42,29,450,323,127,6,64,0,2,86,19,2297
6,HOU,CLE,17,16,247,113,134,11,72,3,7,358,43,1856
8,HOU,SEA,41,21,479,446,33,10,120,1,5,237,42,1778
9,HOU,IND,20,17,371,279,92,6,68,1,6,249,41,1859
10,HOU,LA,33,19,443,339,104,10,86,0,4,205,42,1891
11,HOU,ARI,21,17,292,244,48,10,90,2,6,279,45,1574
12,HOU,BAL,23,17,294,155,139,7,89,0,6,308,48,1784
13,HOU,TEN,24,19,344,146,198,7,63,1,4,199,43,1571
14,HOU,SF,26,20,416,314,102,11,87,1,5,207,41,2089
15,HOU,JAX,45,25,464,326,138,8,54,0,6,283,45,1998
16,HOU,PIT,34,20,330,226,104,4,24,0,3,143,45,1856
17,HOU,IND,22,20,250,104,146,4,20,0,5,235,48,1873
1,IND,LA,46,19,373,310,63,7,50,1,5,218,44,2065
2,IND,ARI,16,17,389,306,83,6,41,1,5,232,42,1729
3,IND,CLE,28,25,346,235,111,10,113,3,7,347,47,1593
4,IND,SEA,46,22,477,283,194,6,45,2,1,35,35,1932
5,IND,SF,23,23,402,336,66,10,77,0,6,274,46,1865
6,IND,TEN,36,25,473,305,168,4,45,1,1,44,44,2153
7,IND,JAX,27,23,518,330,188,4,34,2,2,107,54,1967
8,IND,CIN,24,17,276,218,58,5,54,2,4,197,34,1607
9,IND,HOU,14,19,288,194,94,7,74,1,8,390,43,1741
10,IND,PIT,20,18,316,228,88,9,70,1,6,297,47,1798
12,IND,TEN,20,19,276,184,92,2,15,2,3,139,46,1718
13,IND,JAX,30,22,426,330,96,6,55,0,2,76,38,2027
14,IND,BUF,13,14,319,92,227,2,10,2,6,230,38,1945
15,IND,DEN,25,23,462,249,213,12,80,1,1,52,52,2211
16,IND,BAL,23,23,323,220,103,5,25,0,3,71,16,2148
17,IND,HOU,13,15,209,124,85,7,34,1,4,201,37,1727
1,JAX,HOU,7,23,203,110,93,9,94,4,5,216,42,1795
2,JAX,TEN,37,21,390,211,179,7,70,1,3,125,40,1846
3,JAX,BAL,7,12,186,52,134,10,88,3,7,311,41,1557
4,JAX,NYJ,23,18,471,215,256,10,70,2,6,262,40,2064
5,JAX,PIT,9,21,371,301,70,5,37,5,3,134,45,1868
6,JAX,LA,27,12,249,107,142,7,70,1,7,322,43,1681
7,JAX,IND,0,15,232,136,96,5,55,0,7,314,45,1633
9,JAX,CIN,7,8,148,119,29,8,78,0,7,336,35,1186
10,JAX,LAC,17,16,322,235,87,7,77,2,10,485,42,1907
11,JAX,CLE,7,11,184,134,50,0,0,5,8,376,40,1385
12,JAX,ARI,27,20,344,236,108,10,98,2,6,274,40,2079
13,JAX,IND,10,17,290,149,141,4,31,2,4,187,42,1573
14,JAX,SEA,24,17,401,260,141,6,73,3,4,181,27,1619
15,JAX,HOU,7,9,186,99,87,14,127,1,11,518,42,1602
16,JAX,SF,44,26,369,238,131,8,68,1,3,131,44,1751
17,JAX,TEN,15,11,232,116,116,2,15,1,9,383,41,2007
1,KC,NE,27,25,371,247,124,6,55,0,6,242,39,1786
2,KC,PHI,20,27,406,299,107,4,30,2,4,169,35,1849
3,KC,LAC,10,24,330,226,104,8,61,3,5,250,40,1774
4,KC,WAS,20,15,331,220,111,7,44,1,4,169,37,1371
5,KC,HOU,34,20,392,248,144,7,59,1,5,240,32,1303
6,KC,PIT,19,23,439,245,194,6,57,1,5,207,30,2199
7,KC,OAK,31,32,505,417,88,10,97,0,3,146,44,1764
8,KC,DEN,19,23,364,187,177,7,53,5,4,162,41,1883
9,KC,DAL,28,24,375,244,131,5,65,0,5,195,39,1877
11,KC,NYG,12,20,317,205,112,5,48,1,6,272,43,1850
12,KC,BUF,16,17,268,164,104,6,50,0,7,288,41,1998
13,KC,NYJ,38,30,488,331,157,5,40,0,2,73,25,2569
14,KC,OAK,15,15,268,198,70,7,39,3,7,286,36,1400
15,KC,LAC,13,20,307,209,98,9,61,4,3,149,43,1599
16,KC,MIA,13,15,345,286,59,11,75,2,2,59,29,1327
17,KC,DEN,24,22,336,226,110,4,30,3,4,157,40,1857
1,LA,IND,9,10,225,150,75,4,20,3,6,302,48,1535
2,LA,WAS,27,21,385,156,229,4,25,0,4,204,45,2179
3,LA,SF,39,25,421,308,113,10,55,2,2,83,42,1817
4,LA,DAL,30,22,440,251,189,4,45,2,3,141,40,1768
5,LA,SEA,16,15,241,179,62,7,40,2,6,237,40,1876
6,LA,JAX,17,19,389,220,169,5,40,1,8,274,29,1919
7,LA,ARI,0,10,193,168,25,10,65,2,6,263,32,1259
9,LA,NYG,17,17,319,208,111,4,52,3,5,213,23,1770
10,LA,HOU,7,17,283,194,89,8,60,4,6,281,38,1709
11,LA,MIN,24,27,451,280,171,7,65,0,3,137,42,2242
12,LA,NO,20,14,346,223,123,7,112,0,7,371,45,1474
13,LA,ARI,16,19,312,194,118,4,25,2,5,254,35,1862
14,LA,PHI,43,29,455,316,139,10,67,1,4,142,29,2352
15,LA,SEA,7,11,149,71,78,9,60,2,9,427,31,1394
16,LA,TEN,23,19,366,269,97,5,54,1,4,145,36,1796
17,LA,SF,34,25,463,292,171,4,23,3,2,87,41,1749
1,LAC,DEN,24,22,321,181,140,3,62,2,3,144,49,2053
2,LAC,MIA,19,21,336,225,111,5,23,0,3,130,29,2002
3,LAC,KC,24,16,311,122,189,13,122,0,5,249,47,1826
4,LAC,PHI,26,26,454,240,214,9,58,0,2,95,46,2358
5,LAC,NYG,22,18,335,183,152,10,67,2,8,353,37,1695
6,LAC,OAK,16,15,274,165,109,5,40,2,4,226,55,1677
7,LAC,DEN,0,12,251,182,69,10,68,3,8,349,33,1864
8,LAC,NE,21,27,414,317,97,6,80,0,3,130,46,2219
10,LAC,JAX,20,20,398,263,135,9,106,2,9,431,42,2101
11,LAC,BUF,24,18,393,220,173,6,48,6,3,120,39,1435
12,LAC,DAL,6,14,247,168,79,7,60,2,5,208,42,1435
13,LAC,CLE,10,17,291,202,89,4,24,2,3,117,36,1503
14,LAC,WAS,13,9,201,136,65,4,48,1,8,347,37,1480
15,LAC,KC,30,20,397,223,174,7,71,0,3,129,41,2001
16,LAC,NYJ,7,13,295,98,197,5,34,3,9,421,44,1622
17,LAC,OAK,10,14,336,231,105,6,85,2,3,136,45,1600
2,MIA,LAC,17,24,367,323,44,6,56,0,4,170,37,1598
3,MIA,NYJ,20,16,336,233,103,10,94,1,5,243,46,2168
4,MIA,NO,20,22,347,261,86,8,71,0,3,141,44,2068
5,MIA,TEN,10,14,188,119,69,11,77,2,10,549,50,1815
6,MIA,ATL,17,19,339,239,100,6,73,1,3,118,37,1536
