opp_week,opp_TEAM,opp_OPP,opp_opp_points,opp_first_downs,opp_total_yds,opp_passing_yds,opp_rushing_yds,opp_penalty_cnt,opp_penalty_yds,opp_turnovers,opp_punt_cnt,opp_punt_yds,opp_punt_avg,opp_pos_time
16,KC,SEA,38,31,464,254,210,3,20,0,3,104,35,2102
17,KC,OAK,3,20,292,165,127,4,22,4,4,182,40,2036
1,LA,OAK,13,20,395,300,95,11,155,3,4,178,42,1891
2,LA,ARI,0,5,137,83,54,9,47,1,8,403,34,1552
3,LA,LAC,23,16,356,215,141,4,30,2,3,102,24,1544
4,LA,MIN,31,25,446,392,54,4,35,1,4,159,39,1934
5,LA,SEA,31,20,373,183,190,7,50,0,4,138,27,1830
6,LA,DEN,20,23,357,297,60,6,61,1,4,169,35,1490
7,LA,SF,10,16,228,121,107,2,10,4,5,160,21,1629
8,LA,GB,27,16,359,253,106,2,10,1,5,214,38,1550
9,LA,NO,45,31,487,346,141,2,20,1,2,67,34,2021
10,LA,SEA,31,29,414,141,273,7,56,1,3,165,48,1837
11,LA,KC,51,27,546,448,98,13,135,5,3,142,48,1777
13,LA,DET,16,23,310,208,102,8,54,2,6,286,45,1904
14,LA,CHI,15,17,294,100,194,6,45,3,5,229,42,2209
15,LA,PHI,30,17,381,270,111,6,49,1,3,155,52,1896
16,LA,ARI,9,15,263,159,104,7,54,0,5,246,44,1376
17,LA,SF,32,22,391,264,127,5,41,4,2,99,44,1690
1,MIA,TEN,20,19,336,220,116,5,48,3,4,179,45,1775
2,MIA,NYJ,12,21,362,320,42,7,50,3,5,263,43,1895
3,MIA,OAK,20,25,434,325,109,8,38,2,3,112,37,2311
4,MIA,NE,38,26,449,274,175,6,57,2,2,80,29,2182
5,MIA,CIN,27,17,332,229,103,6,47,1,4,173,22,1835
6,MIA,CHI,28,23,467,303,164,6,58,3,2,79,40,2005
7,MIA,DET,32,24,457,209,248,6,43,0,1,61,42,2019
8,MIA,HOU,42,17,427,239,188,8,57,0,5,211,32,1731
