Week,Year,GID,FirstName,LastName,Pos,Team,h/a,Oppt,fd_points,fd_salary
14,2016,4676,Heuerman, Jeff,TE,den,a,ten,0,4500
14,2016,4542,Green, Virgil,TE,den,a,ten,0,4500
14,2016,4555,Jones, Dominique,TE,mia,h,ari,0,4500
14,2016,4482,Dickson, Ed,TE,car,h,sdg,0,4500
14,2016,4652,Kroft, Tyler,TE,cin,a,cle,0,4500
14,2016,4551,Allen, Dwayne,TE,ind,h,hou,0,4800
14,2016,4682,Cross, Alan,TE,tam,h,nor,0,4500
14,2016,4626,Swoope, Erik,TE,ind,h,hou,0,4500
14,2016,4679,Anderson, Stephen,TE,hou,a,ind,0,4500
14,2016,4688,Vannett, Nick,TE,sea,a,gnb,0,4500
14,2016,4691,Braunecker, Ben,TE,chi,a,det,0,4500
14,2016,4694,Morgan, David,TE,min,a,jac,0,4500
14,2016,4595,Gray, Marqueis,TE,mia,h,ari,0,4500
14,2016,4590,Williams, Brandon,TE,sea,a,gnb,0,4500
14,2016,4572,McDonald, Vance,TE,sfo,h,nyj,0,4700
14,2016,4495,Harbor, Clay,TE,det,h,chi,0,4500
14,2016,5517,Vitale, Danny,TE,cle,h,cin,0,4500
14,2016,6095,Novak, Nick,PK,hou,a,ind,19,4600
14,2016,6172,Gano, Graham,PK,car,h,sdg,17,4800
14,2016,6208,Forbath, Kai,PK,min,a,jac,16,4500
14,2016,6236,Myers, Jason,PK,jac,h,min,13,4500
