Name,Team,Pos,Wk,Opp,Year,Status,TeamScore,OppScore,PassYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgs,ReceivingYds,ReceivingTD,FL
Samaje Perine,CIN,RB,2,CLE,2020,0,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0
Mack Hollins,MIA,WR,2,BUF,2020,0,28,31,0,0,0,0,0,0,0,0,0,0,0,0,0
A.J. Epenesa,BUF,DE,2,MIA,2020,0,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0
Darrell Daniels,ARI,TE,2,WAS,2020,0,30,15,0,0,0,0,0,0,0,0,0,1,0,0,0
Tony McRae,DET,CB,2,GB,2020,0,21,42,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Spillane,PIT,ILB,2,DEN,2020,0,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0
James Pierre,PIT,CB,2,DEN,2020,0,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Davontae Harris,DEN,CB,2,PIT,2020,O,21,26,0,0,0,0,0,0,0,0,0,0,0,0,0
Levine Toilolo,NYG,TE,2,CHI,2020,0,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Devante Downs,NYG,OLB,2,CHI,2020,0,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Cardona,NE,LS,2,SEA,2020,0,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevor Williams,PHI,CB,2,LAR,2020,IR,19,37,0,0,0,0,0,0,0,0,0,0,0,0,0
Duke Riley,PHI,OLB,2,LAR,2020,0,19,37,0,0,0,0,0,0,0,0,0,0,0,0,0
Xavier Jones,LAR,RB,2,PHI,2020,0,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerald Everett,LAR,TE,2,PHI,2020,0,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Samson Ebukam,LAR,OLB,2,PHI,2020,0,37,19,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedrick Wilson,DAL,WR,2,ATL,2020,0,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0
Cam Brown,NYG,LB,2,CHI,2020,0,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Scales,CHI,LS,2,NYG,2020,0,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Willson,SEA,TE,2,NE,2020,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Brewer,ARI,LS,2,WAS,2020,0,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0
Jared Norris,WAS,ILB,2,ARI,2020,0,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesse James,DET,TE,2,GB,2020,0,21,42,0,0,0,0,0,0,0,0,0,0,0,0,0
Oren Burks,GB,ILB,2,DET,2020,0,42,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Mario Edwards Jr.,CHI,DE,2,NYG,2020,0,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Williams,NYG,CB,2,CHI,2020,IR,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Kendal Vickers,LV,DE,2,NO,2020,0,34,24,0,0,0,0,0,0,0,0,0,0,0,0,0
Raekwon McMillan,LV,LB,2,NO,2020,0,34,24,0,0,0,0,0,0,0,0,0,0,0,0,0
Miles Killebrew,DET,FS,2,GB,2020,0,21,42,0,0,0,0,0,0,0,0,0,0,0,0,0
